PokemonIndex,pokemonName,pokemonDescription,pokemonType1,pokemonType2,maxHp,attack,defence,spAttack,spDefence,speed,learnableSkills
88,질퍽이,,Poison,,80,80,50,40,50,25,
89,질뻐기,,Poison,,105,105,75,65,100,50,
90,셀러,,Water,,30,65,100,45,25,40,
91,파르셀,,Water,Ice,50,95,180,85,45,70,
92,고오스,,Ghost,Poison,30,35,30,100,35,80,
93,고우스트,,Ghost,Poison,45,50,45,115,55,95,
94,팬텀,,Ghost,Poison,60,65,60,130,75,110,
95,롱스톤,,Rock,Ground,35,45,160,30,45,70,
96,슬리프,,Psychic,,60,48,45,43,90,42,
97,슬리퍼,,Psychic,,85,73,70,73,115,67,
98,크랩,,Water,,30,105,90,25,25,50,
99,킹크랩,,Water,,55,130,115,50,50,75,
100,찌리리공,,Electric,,40,30,50,55,55,100,
101,붐볼,,Electric,,60,50,70,80,80,140,
102,아라리,,Grass,Psychic,60,40,80,60,45,40,
103,나시,,Grass,Psychic,95,95,85,125,65,55,
104,탕구리,,Ground,,50,50,95,40,50,35,
105,텅구리,,Ground,,60,80,110,50,80,45,
106,시라소몬,,Fighting,,50,120,53,35,110,87,
107,홍수몬,,Fighting,,50,105,79,35,110,76,
108,내루미,,Normal,,90,55,75,60,75,30,
109,또가스,,Poison,,40,65,95,60,45,35,
110,또도가스,,Poison,,65,90,120,85,70,60,
111,뿔카노,,Ground,Rock,80,85,95,30,30,25,
112,코뿌리,,Ground,Rock,105,130,120,45,45,40,
113,럭키,,Normal,,250,5,5,35,105,50,
114,덩쿠리,,Grass,,65,55,115,100,40,60,
115,캥카,,Normal,,105,95,80,40,80,90,
116,쏘드라,,Water,,30,40,70,70,25,60,
117,시드라,,Water,,55,65,95,95,45,85,
118,콘치,,Water,,45,67,60,35,50,63,
119,왕콘치,,Water,,80,92,65,65,80,68,
120,별가사리,,Water,,30,45,55,70,55,85,
121,아쿠스타,,Water,Psychic,60,75,85,100,85,115,
122,마임맨,,Psychic,Fairy,40,45,65,100,120,90,
123,스라크,,Bug,Flying,70,110,80,55,80,105,
124,루주라,,Ice,Psychic,65,50,35,115,95,95,
125,에레브,,Electric,,65,83,57,95,85,105,
126,마그마,,Fire,,65,95,57,100,85,93,
127,쁘사이저,,Bug,,65,125,100,55,70,85,
128,켄타로스,,Normal,,75,100,95,40,70,110,
129,잉어킹,,Water,,20,10,55,15,20,80,
130,갸라도스,,Water,Flying,95,125,79,60,100,81,
131,라프라스,,Water,Ice,130,85,80,85,95,60,
132,메타몽,,Normal,,48,48,48,48,48,48,
133,이브이,,Normal,,55,55,50,45,65,55,
134,샤미드,,Water,,130,65,60,110,95,65,
135,쥬피썬더,,Electric,,65,65,60,110,95,130,
136,부스터,,Fire,,65,130,60,95,110,65,
137,폴리곤,,Normal,,65,60,70,85,75,40,
138,암나이트,,Rock,Water,35,40,100,90,55,35,
139,암스타,,Rock,Water,70,60,125,115,70,55,
140,투구,,Rock,Water,30,80,90,55,45,55,
141,투구푸스,,Rock,Water,60,115,105,65,70,80,
142,프테라,,Rock,Flying,80,105,65,60,75,130,
143,잠만보,,Normal,,160,110,65,65,110,30,
144,프리져,,Ice,Flying,90,85,100,95,125,85,
145,썬더,,Electric,Flying,90,90,85,125,90,100,
146,파이어,,Fire,Flying,90,100,90,125,85,90,
147,미뇽,,Dragon,,41,64,45,50,50,50,
148,신뇽,,Dragon,,61,84,65,70,70,70,
149,망나뇽,,Dragon,Flying,91,134,95,100,100,80,
150,뮤츠,,Psychic,,106,110,90,154,90,130,
151,뮤,,Psychic,,100,100,100,100,100,100,
152,치코리타,,Grass,,45,49,65,49,65,45,
153,베이리프,,Grass,,60,62,80,63,80,60,
154,메가니움,,Grass,,80,82,100,83,100,80,
155,브케인,,Fire,,39,52,43,60,50,65,
156,마그케인,,Fire,,58,64,58,80,65,80,
157,블레이범,,Fire,,78,84,78,109,85,100,
158,리아코,,Water,,50,65,64,44,48,43,
159,엘리게이,,Water,,65,80,80,59,63,58,
160,장크로다일,,Water,,85,105,100,79,83,78,
161,꼬리선,,Normal,,35,46,34,35,45,20,
162,다꼬리,,Normal,,85,76,64,45,55,90,
163,부우부,,Normal,Flying,60,30,30,36,56,50,
164,야부엉,,Normal,Flying,100,50,50,76,96,70,
165,레디바,,Bug,Flying,40,20,30,40,80,55,
166,레디안,,Bug,Flying,55,35,50,55,110,85,
167,페이검,,Bug,Poison,40,60,40,40,40,30,
168,아리아도스,,Bug,Poison,70,90,70,60,60,40,
169,크로뱃,,Poison,Flying,85,90,80,70,80,130,
170,초라기,,Water,Electric,75,38,38,56,56,67,
171,랜턴,,Water,Electric,125,58,58,76,76,67,
172,피츄,,Electric,,20,40,15,35,35,60,
173,삐,,Fairy,,50,25,28,45,55,15,
174,푸푸린,,Normal,Fairy,90,30,15,40,20,15,
175,토게피,,Fairy,,35,20,65,40,65,20,
176,토게틱,,Fairy,Flying,55,40,85,80,105,40,
177,네이티,,Psychic,Flying,40,50,45,70,45,70,
178,네이티오,,Psychic,Flying,65,75,70,95,70,95,
179,메리프,,Electric,,55,40,40,65,45,35,
180,보송송,,Electric,,70,55,55,80,60,45,
181,전룡,,Electric,,90,75,85,115,90,55,
182,아르코,,Grass,,75,80,95,90,100,50,
183,마릴,,Water,Fairy,70,20,50,20,50,40,
184,마릴리,,Water,Fairy,100,50,80,60,80,50,
185,꼬지모,,Rock,,70,100,115,30,65,30,
186,왕구리,,Water,,90,75,75,90,100,70,
187,통통코,,Grass,Flying,35,35,40,35,55,50,
188,두코,,Grass,Flying,55,45,50,45,65,80,
189,솜솜코,,Grass,Flying,75,55,70,55,95,110,
190,에이팜,,Normal,,55,70,55,40,55,85,
191,해너츠,,Grass,,30,30,30,30,30,30,
192,해루미,,Grass,,75,75,55,105,85,30,
193,왕자리,,Bug,Flying,65,65,45,75,45,95,
194,우파,,Water,Ground,55,45,45,25,25,15,
195,누오,,Water,Ground,95,85,85,65,65,35,
196,에브이,,Psychic,,65,65,60,130,95,110,
197,블래키,,Dark,,95,65,110,60,130,65,
198,니로우,,Dark,Flying,60,85,42,85,42,91,
199,야도킹,,Water,Psychic,95,75,80,100,110,30,
200,무우마,,Ghost,,60,60,60,85,85,85,
201,안농,,Psychic,,48,72,48,72,48,48,
202,마자용,,Psychic,,190,33,58,33,58,33,
203,키링키,,Normal,Psychic,70,80,65,90,65,85,
204,피콘,,Bug,,50,65,90,35,35,15,
205,쏘콘,,Bug,Steel,75,90,140,60,60,40,
206,노고치,,Normal,,100,70,70,65,65,45,
207,글라이거,,Ground,Flying,65,75,105,35,65,85,
208,강철톤,,Steel,Ground,75,85,200,55,65,30,
209,블루,,Fairy,,60,80,50,40,40,30,
210,그랑블루,,Fairy,,90,120,75,60,60,45,
211,침바루,,Water,Poison,65,95,75,55,55,85,
212,핫삼,,Bug,Steel,70,130,100,55,80,65,
213,단단지,,Bug,Rock,20,10,230,10,230,5,
214,헤라크로스,,Bug,Fighting,80,125,75,40,95,85,
215,포푸니,,Dark,Ice,55,95,55,35,75,115,
216,깜지곰,,Normal,,60,80,50,50,50,40,
217,링곰,,Normal,,90,130,75,75,75,55,
218,마그마그,,Fire,,40,40,40,70,40,20,
219,마그카르고,,Fire,Rock,50,50,120,80,80,30,
220,꾸꾸리,,Ice,Ground,50,50,40,30,30,50,
221,메꾸리,,Ice,Ground,100,100,80,60,60,50,
222,코산호,,Water,Rock,55,55,85,65,85,35,
223,총어,,Water,,35,65,35,65,35,65,
224,대포무노,,Water,,75,105,75,105,75,45,
225,딜리버드,,Ice,Flying,45,55,45,65,45,75,
226,만타인,,Water,Flying,65,40,70,80,140,70,
227,무장조,,Steel,Flying,65,80,140,40,70,70,
228,델빌,,Dark,Fire,45,60,30,80,50,65,
229,헬가,,Dark,Fire,75,90,50,110,80,95,
230,킹드라,,Water,Dragon,75,95,95,95,95,85,
231,코코리,,Ground,,90,60,60,40,40,40,
232,코리갑,,Ground,,90,120,120,60,60,50,
233,폴리곤2,,Normal,,85,80,90,105,95,60,
234,노라키,,Normal,,73,95,62,85,65,85,
235,루브도,,Normal,,55,20,35,20,45,75,
236,배루키,,Fighting,,35,35,35,35,35,35,
237,카포에라,,Fighting,,50,95,95,35,110,70,
238,뽀뽀라,,Ice,Psychic,45,30,15,85,65,65,
239,에레키드,,Electric,,45,63,37,65,55,95,
240,마그비,,Fire,,45,75,37,70,55,83,
241,밀탱크,,Normal,,95,80,105,40,70,100,
242,해피너스,,Normal,,255,10,10,75,135,55,
243,라이코,,Electric,,90,85,75,115,100,115,
244,앤테이,,Fire,,115,115,85,90,75,100,
245,스이쿤,,Water,,100,75,115,90,115,85,
246,애버라스,,Rock,Ground,50,64,50,45,50,41,
247,데기라스,,Rock,Ground,70,84,70,65,70,51,
248,마기라스,,Rock,Dark,100,134,110,95,100,61,
249,루기아,,Psychic,Flying,106,90,130,90,154,110,
250,칠색조,,Fire,Flying,106,130,90,110,154,90,
251,세레비,,Psychic,Grass,100,100,100,100,100,100,
252,나무지기,,Grass,,40,45,35,65,55,70,
253,나무돌이,,Grass,,50,65,45,85,65,95,
254,나무킹,,Grass,,70,85,65,105,85,120,
255,아차모,,Fire,,45,60,40,70,50,45,
256,영치코,,Fire,Fighting,60,85,60,85,60,55,
257,번치코,,Fire,Fighting,80,120,70,110,70,80,
258,물짱이,,Water,,50,70,50,50,50,40,
259,늪짱이,,Water,Ground,70,85,70,60,70,50,
260,대짱이,,Water,Ground,100,110,90,85,90,60,
261,포챠나,,Dark,,35,55,35,30,30,35,
262,그라에나,,Dark,,70,90,70,60,60,70,
263,지그제구리,,Normal,,38,30,41,30,41,60,
264,직구리,,Normal,,78,70,61,50,61,100,
265,개무소,,Bug,,45,45,35,20,30,20,
266,실쿤,,Bug,,50,35,55,25,25,15,
267,뷰티플라이,,Bug,Flying,60,70,50,100,50,65,
268,카스쿤,,Bug,,50,35,55,25,25,15,
269,독케일,,Bug,Poison,60,50,70,50,90,65,
270,연꽃몬,,Water,Grass,40,30,30,40,50,30,
271,로토스,,Water,Grass,60,50,50,60,70,50,
272,로파파,,Water,Grass,80,70,70,90,100,70,
273,도토링,,Grass,,40,40,50,30,30,30,
274,잎새코,,Grass,Dark,70,70,40,60,40,60,
275,다탱구,,Grass,Dark,90,100,60,90,60,80,
276,테일로,,Normal,Flying,40,55,30,30,30,85,
277,스왈로,,Normal,Flying,60,85,60,50,50,125,
278,갈모매,,Water,Flying,40,30,30,55,30,85,
279,패리퍼,,Water,Flying,60,50,100,85,70,65,
280,랄토스,,Psychic,Fairy,28,25,25,45,35,40,
281,킬리아,,Psychic,Fairy,38,35,35,65,55,50,
282,가디안,,Psychic,Fairy,68,65,65,125,115,80,
283,비구슬,,Bug,Water,40,30,32,50,52,65,
284,비나방,,Bug,Flying,70,60,62,80,82,60,
285,버섯꼬,,Grass,,60,40,60,40,60,35,
286,버섯모,,Grass,Fighting,60,130,80,60,60,70,
287,게을로,,Normal,,60,60,60,35,35,30,
288,발바로,,Normal,,80,80,80,55,55,90,
289,게을킹,,Normal,,150,160,100,95,65,100,
290,토중몬,,Bug,Ground,31,45,90,30,30,40,
291,아이스크,,Bug,Flying,61,90,45,50,50,160,
292,껍질몬,,Bug,Ghost,1,90,45,30,30,40,
293,소곤룡,,Normal,,64,51,23,51,23,28,
294,노공룡,,Normal,,84,71,43,71,43,48,
295,폭음룡,,Normal,,104,91,63,91,73,68,
296,마그탕,,Fighting,,72,60,30,20,30,25,
297,하리뭉,,Fighting,,144,120,60,40,60,50,
298,루리리,,Normal,Fairy,50,20,40,20,40,20,
299,코코파스,,Rock,,30,45,135,45,90,30,
300,에나비,,Normal,,50,45,45,35,35,50,
301,델케티,,Normal,,70,65,65,55,55,70,
302,깜까미,,Dark,Ghost,50,75,75,65,65,50,
303,입치트,,Steel,Fairy,50,85,85,55,55,50,
304,가보리,,Steel,Rock,50,70,100,40,40,30,
305,갱도라,,Steel,Rock,60,90,140,50,50,40,
306,보스로라,,Steel,Rock,70,110,180,60,60,50,
307,요가랑,,Fighting,Psychic,30,40,55,40,55,60,
308,요가램,,Fighting,Psychic,60,60,75,60,75,80,
309,썬더라이,,Electric,,40,45,40,65,40,65,
310,썬더볼트,,Electric,,70,75,60,105,60,105,
311,플러시,,Electric,,60,50,40,85,75,95,
312,마이농,,Electric,,60,40,50,75,85,95,
313,볼비트,,Bug,,65,73,55,47,75,85,
314,네오비트,,Bug,,65,47,55,73,75,85,
315,로젤리아,,Grass,Poison,50,60,45,100,80,65,
316,꼴깍몬,,Poison,,70,43,53,43,53,40,
317,꿀꺽몬,,Poison,,100,73,83,73,83,55,
318,샤프니아,,Water,Dark,45,90,20,65,20,65,
319,샤크니아,,Water,Dark,70,120,40,95,40,95,
320,고래왕자,,Water,,130,70,35,70,35,60,
321,고래왕,,Water,,170,90,45,90,45,60,
322,둔타,,Fire,Ground,60,60,40,65,45,35,
323,폭타,,Fire,Ground,70,100,70,105,75,40,
324,코터스,,Fire,,70,85,140,85,70,20,
325,피그점프,,Psychic,,60,25,35,70,80,60,
326,피그킹,,Psychic,,80,45,65,90,110,80,
327,얼루기,,Normal,,60,60,60,60,60,60,
328,톱치,,Ground,,45,100,45,45,45,10,
329,비브라바,,Ground,Dragon,50,70,50,50,50,70,
330,플라이곤,,Ground,Dragon,80,100,80,80,80,100,
331,선인왕,,Grass,,50,85,40,85,40,35,
332,밤선인,,Grass,Dark,70,115,60,115,60,55,
333,파비코,,Normal,Flying,45,40,60,40,75,50,
334,파비코리,,Dragon,Flying,75,70,90,70,105,80,
335,쟝고,,Normal,,73,115,60,60,60,90,
336,세비퍼,,Poison,,73,100,60,100,60,65,
337,루나톤,,Rock,Psychic,70,55,65,95,85,70,
338,솔록,,Rock,Psychic,70,95,85,55,65,70,
339,미꾸리,,Water,Ground,50,48,43,46,41,60,
340,메깅,,Water,Ground,110,78,73,76,71,60,
341,가재군,,Water,,43,80,65,50,35,35,
342,가재장군,,Water,Dark,63,120,85,90,55,55,
343,오뚝군,,Ground,Psychic,40,40,55,40,70,55,
344,점토도리,,Ground,Psychic,60,70,105,70,120,75,
345,릴링,,Rock,Grass,66,41,77,61,87,23,
346,릴리요,,Rock,Grass,86,81,97,81,107,43,
347,아노딥스,,Rock,Bug,45,95,50,40,50,75,
348,아말도,,Rock,Bug,75,125,100,70,80,45,
349,빈티나,,Water,,20,15,20,10,55,80,
350,밀로틱,,Water,,95,60,79,100,125,81,
351,캐스퐁,,Normal,,70,70,70,70,70,70,
352,켈리몬,,Normal,,60,90,70,60,120,40,
353,어둠대신,,Ghost,,44,75,35,63,33,45,
354,다크펫,,Ghost,,64,115,65,83,63,65,
355,해골몽,,Ghost,,20,40,90,30,90,25,
356,미라몽,,Ghost,,40,70,130,60,130,25,
357,트로피우스,,Grass,Flying,99,68,83,72,87,51,
358,치렁,,Psychic,,65,50,70,95,80,65,
359,앱솔,,Dark,,65,130,60,75,60,75,
360,마자,,Psychic,,95,23,48,23,48,23,
361,눈꼬마,,Ice,,50,50,50,50,50,50,
362,얼음귀신,,Ice,,80,80,80,80,80,80,
363,대굴레오,,Ice,Water,70,40,50,55,50,25,
364,씨레오,,Ice,Water,90,60,70,75,70,45,
365,씨카이저,,Ice,Water,110,80,90,95,90,65,
366,진주몽,,Water,,35,64,85,74,55,32,
367,헌테일,,Water,,55,104,105,94,75,52,
368,분홍장이,,Water,,55,84,105,114,75,52,
369,시라칸,,Water,Rock,100,90,130,45,65,55,
370,사랑동이,,Water,,43,30,55,40,65,97,
371,아공이,,Dragon,,45,75,60,40,30,50,
372,쉘곤,,Dragon,,65,95,100,60,50,50,
373,보만다,,Dragon,Flying,95,135,80,110,80,100,
374,메탕,,Steel,Psychic,40,55,80,35,60,30,
375,메탕구,,Steel,Psychic,60,75,100,55,80,50,
376,메타그로스,,Steel,Psychic,80,135,130,95,90,70,
377,레지락,,Rock,,80,100,200,50,100,50,
378,레지아이스,,Ice,,80,50,100,100,200,50,
379,레지스틸,,Steel,,80,75,150,75,150,50,
380,라티아스,,Dragon,Psychic,80,80,90,110,130,110,
381,라티오스,,Dragon,Psychic,80,90,80,130,110,110,
382,가이오가,,Water,,100,100,90,150,140,90,
383,그란돈,,Ground,,100,150,140,100,90,90,
384,레쿠쟈,,Dragon,Flying,105,150,90,150,90,95,
385,지라치,,Steel,Psychic,100,100,100,100,100,100,
386,테오키스,,Psychic,,50,150,50,150,50,150,
387,모부기,,Grass,,55,68,64,45,55,31,
388,수풀부기,,Grass,,75,89,85,55,65,36,
389,토대부기,,Grass,Ground,95,109,105,75,85,56,
390,불꽃숭이,,Fire,,44,58,44,58,44,61,
391,파이숭이,,Fire,Fighting,64,78,52,78,52,81,
392,초염몽,,Fire,Fighting,76,104,71,104,71,108,
393,팽도리,,Water,,53,51,53,61,56,40,
394,팽태자,,Water,,64,66,68,81,76,50,
395,엠페르트,,Water,Steel,84,86,88,111,101,60,
396,찌르꼬,,Normal,Flying,40,55,30,30,30,60,
397,찌르버드,,Normal,Flying,55,75,50,40,40,80,
398,찌르호크,,Normal,Flying,85,120,70,50,60,100,
399,비버니,,Normal,,59,45,40,35,40,31,
400,비버통,,Normal,Water,79,85,60,55,60,71,
401,귀뚤뚜기,,Bug,,37,25,41,25,41,25,
402,귀뚤톡크,,Bug,,77,85,51,55,51,65,
403,꼬링크,,Electric,,45,65,34,40,34,45,
404,럭시오,,Electric,,60,85,49,60,49,60,
405,렌트라,,Electric,,80,120,79,95,79,70,
406,꼬몽울,,Grass,Poison,40,30,35,50,70,55,
407,로즈레이드,,Grass,Poison,60,70,65,125,105,90,
408,두개도스,,Rock,,67,125,40,30,30,58,
409,램펄드,,Rock,,97,165,60,65,50,58,
410,방패톱스,,Rock,Steel,30,42,118,42,88,30,
411,바리톱스,,Rock,Steel,60,52,168,47,138,30,
412,도롱충이,,Bug,,40,29,45,29,45,36,
413,도롱마담,,Bug,Grass,60,59,85,79,105,36,
414,나메일,,Bug,Flying,70,94,50,94,50,66,
415,세꿀버리,,Bug,Flying,30,30,42,30,42,70,
416,비퀸,,Bug,Flying,70,80,102,80,102,40,
417,파치리스,,Electric,,60,45,70,45,90,95,
418,브이젤,,Water,,55,65,35,60,30,85,
419,플로젤,,Water,,85,105,55,85,50,115,
420,체리버,,Grass,,45,35,45,62,53,35,
421,체리꼬,,Grass,,70,60,70,87,78,85,
422,깝질무,,Water,,76,48,48,57,62,34,
423,트리토돈,,Water,Ground,111,83,68,92,82,39,
424,겟핸보숭,,Normal,,75,100,66,60,66,115,
425,흔들풍손,,Ghost,Flying,90,50,34,60,44,70,
426,둥실라이드,,Ghost,Flying,150,80,44,90,54,80,
427,이어롤,,Normal,,55,66,44,44,56,85,
428,이어롭,,Normal,,65,76,84,54,96,105,
429,무우마직,,Ghost,,60,60,60,105,105,105,
430,돈크로우,,Dark,Flying,100,125,52,105,52,71,
431,나옹마,,Normal,,49,55,42,42,37,85,
432,몬냥이,,Normal,,71,82,64,64,59,112,
433,랑딸랑,,Psychic,,45,30,50,65,50,45,
434,스컹뿡,,Poison,Dark,63,63,47,41,41,74,
435,스컹탱크,,Poison,Dark,103,93,67,71,61,84,
436,동미러,,Steel,Psychic,57,24,86,24,86,23,
437,동탁군,,Steel,Psychic,67,89,116,79,116,33,
438,꼬지지,,Rock,,50,80,95,10,45,10,
439,흉내내,,Psychic,Fairy,20,25,45,70,90,60,
440,핑복,,Normal,,100,5,5,15,65,30,
441,페라페,,Normal,Flying,76,65,45,92,42,91,
442,화강돌,,Ghost,Dark,50,92,108,92,108,35,
443,딥상어동,,Dragon,Ground,58,70,45,40,45,42,
444,한바이트,,Dragon,Ground,68,90,65,50,55,82,
445,한카리아스,,Dragon,Ground,108,130,95,80,85,102,
446,먹고자,,Normal,,135,85,40,40,85,5,
447,리오르,,Fighting,,40,70,40,35,40,60,
448,루카리오,,Fighting,Steel,70,110,70,115,70,90,
449,히포포타스,,Ground,,68,72,78,38,42,32,
450,하마돈,,Ground,,108,112,118,68,72,47,
451,스콜피,,Poison,Bug,40,50,90,30,55,65,
452,드래피온,,Poison,Dark,70,90,110,60,75,95,
453,삐딱구리,,Poison,Fighting,48,61,40,61,40,50,
454,독개굴,,Poison,Fighting,83,106,65,86,65,85,
455,무스틈니,,Grass,,74,100,72,90,72,46,
456,형광어,,Water,,49,49,56,49,61,66,
457,네오라이트,,Water,,69,69,76,69,86,91,
458,타만타,,Water,Flying,45,20,50,60,120,50,
459,눈쓰개,,Grass,Ice,60,62,50,62,60,40,
460,눈설왕,,Grass,Ice,90,92,75,92,85,60,
461,포푸니라,,Dark,Ice,70,120,65,45,85,125,
462,자포코일,,Electric,Steel,70,70,115,130,90,60,
463,내룸벨트,,Normal,,110,85,95,80,95,50,
464,거대코뿌리,,Ground,Rock,115,140,130,55,55,40,
465,덩쿠림보,,Grass,,100,100,125,110,50,50,
466,에레키블,,Electric,,75,123,67,95,85,95,
467,마그마번,,Fire,,75,95,67,125,95,83,
468,토게키스,,Fairy,Flying,85,50,95,120,115,80,
469,메가자리,,Bug,Flying,86,76,86,116,56,95,
470,리피아,,Grass,,65,110,130,60,65,95,
471,글레이시아,,Ice,,65,60,110,130,95,65,
472,글라이온,,Ground,Flying,75,95,125,45,75,95,
473,맘모꾸리,,Ice,Ground,110,130,80,70,60,80,
474,폴리곤Z,,Normal,,85,80,70,135,75,90,
475,엘레이드,,Psychic,Fighting,68,125,65,65,115,80,
476,대코파스,,Rock,Steel,60,55,145,75,150,40,
477,야느와르몽,,Ghost,,45,100,135,65,135,45,
478,눈여아,,Ice,Ghost,70,80,70,80,70,110,
479,로토무,,Electric,Ghost,50,50,77,95,77,91,
480,유크시,,Psychic,,75,75,130,75,130,95,
481,엠라이트,,Psychic,,80,105,105,105,105,80,
482,아그놈,,Psychic,,75,125,70,125,70,115,
483,디아루가,,Steel,Dragon,100,120,120,150,100,90,
484,펄기아,,Water,Dragon,90,120,100,150,120,100,
485,히드런,,Fire,Steel,91,90,106,130,106,77,
486,레지기가스,,Normal,,110,160,110,80,110,100,
487,기라티나,,Ghost,Dragon,150,100,120,100,120,90,
488,크레세리아,,Psychic,,120,70,120,75,130,85,
489,피오네,,Water,,80,80,80,80,80,80,
490,마나피,,Water,,100,100,100,100,100,100,
491,다크라이,,Dark,,70,90,90,135,90,125,
492,쉐이미,,Grass,,100,100,100,100,100,100,
493,아르세우스,,Normal,,120,120,120,120,120,120,
494,비크티니,,Psychic,Fire,100,100,100,100,100,100,
495,주리비얀,,Grass,,45,45,55,45,55,63,
496,샤비,,Grass,,60,60,75,60,75,83,
497,샤로다,,Grass,,75,75,95,75,95,113,
498,뚜꾸리,,Fire,,65,63,45,45,45,45,
499,차오꿀,,Fire,Fighting,90,93,55,70,55,55,
500,염무왕,,Fire,Fighting,110,123,65,100,65,65,
501,수댕이,,Water,,55,55,45,63,45,45,
