PokemonIndex,pokemonName,pokemonDescription,pokemonType1,pokemonType2,maxHp,attack,defence,spAttack,spDefence,speed,ExpYield,GrowthRate,CatchRate,LearnableSkills
18,피죤투,,Normal,Flying,83,80,75,70,70,101,240,MediumSlow,45,1:바람일으키기|1:모래뿌리기|1:몸통박치기|1:전광석화|1:폭풍|5:모래뿌리기|9:바람일으키기|17:날려버리기|22:회오리|27:깃털댄스|32:고속이동|38:날개치기|44:날개쉬기|50:순풍|56:제비반환|62:에어슬래시|68:폭풍
19,꼬렛,,Normal,,30,56,35,25,35,72,51,MediumFast,255,1:몸통박치기|1:꼬리흔들기|4:전광석화|7:기충전|10:물기|13:예민해지기|16:돌진|19:승부굳히기|22:깨물어부수기|25:기습|28:분노의앞니|31:이판사판태클|34:죽기살기
20,레트라,,Normal,,55,81,60,50,70,97,145,MediumFast,127,0:겁나는얼굴|1:칼춤|1:몸통박치기|1:꼬리흔들기|1:전광석화|1:기충전|10:물기|13:예민해지기|16:돌진|19:승부굳히기|24:깨물어부수기|29:기습|34:분노의앞니|39:이판사판태클|44:죽기살기
21,깨비참,,Normal,Flying,40,60,30,31,31,70,52,MediumFast,255,1:울음소리|1:쪼기|4:째려보기|8:승부굳히기|11:마구찌르기|15:제비반환|18:날개치기|22:돌진|25:고속이동|29:기충전|32:날개쉬기|36:회전부리
22,깨비드릴조,,Normal,Flying,65,90,65,61,61,100,155,MediumFast,90,1:째려보기|1:울음소리|1:쪼기|1:승부굳히기|1:쪼아대기|1:드릴라이너|1:따라가때리기|4:째려보기|8:승부굳히기|11:마구찌르기|15:제비반환|18:날개치기|23:돌진|27:고속이동|32:기충전|36:날개쉬기|41:회전부리
23,아보,,Poison,,35,60,44,40,54,55,58,MediumFast,255,1:김밥말이|1:째려보기|4:독침|9:물기|12:뱀눈초리|17:싫은소리|20:용해액|25:꿀꺽|25:비축하기|25:토해내기|28:애시드봄|33:오물폭탄|36:위액|38:트림|41:흑안개|44:똬리틀기|49:더스트슈트
24,아보크,,Poison,,60,85,69,65,79,80,157,MediumFast,90,0:깨물어부수기|1:김밥말이|1:독침|1:째려보기|1:물기|1:번개엄니|1:얼음엄니|1:불꽃엄니|12:뱀눈초리|17:싫은소리|20:용해액|27:비축하기|27:토해내기|27:꿀꺽|32:애시드봄|39:오물폭탄|44:위액|48:트림|51:흑안개|56:똬리틀기|63:더스트슈트
25,피카츄,,Electric,,35,55,40,50,50,90,112,MediumFast,190,1:꼬리흔들기|1:울음소리|1:전기쇼크|1:전광석화|1:천사의키스|1:애교부리기|1:나쁜음모|1:친해지기|1:볼부비부비|4:전기자석파|8:그림자분신|12:일렉트릭볼|16:페인트|20:스파크|24:고속이동|28:아이언테일|32:방전|36:10만볼트|40:빛의장막|44:번개|48:피카피카썬더
26,라이츄,,Electric,,60,90,55,90,80,110,243,MediumFast,75,0:파찌파찌액셀|1:꼬리흔들기|1:울음소리|1:전기쇼크|1:전기자석파|1:번개|1:고속이동|1:전광석화|1:그림자분신|1:빛의장막|1:천사의키스|1:애교부리기|1:스파크|1:아이언테일|1:페인트|1:나쁜음모|1:방전|1:일렉트릭볼|1:친해지기|1:볼부비부비|1:번개펀치|5:10만볼트|50:피카피카썬더
27,모래두지,,Ground,,50,75,85,20,30,40,60,MediumFast,255,1:할퀴기|1:웅크리기|3:독침|6:모래뿌리기|9:구르기|12:연속자르기|15:고속스핀|18:땅고르기|21:스피드스타|24:마구할퀴기|27:고속이동|30:베어가르기|33:구멍파기|36:자이로볼|39:칼춤|42:모래바람|45:지진
28,고지,,Ground,,75,100,110,45,55,65,158,MediumFast,90,1:할퀴기|1:모래뿌리기|1:독침|1:웅크리기|1:브레이크크루|1:고속이동|9:구르기|12:연속자르기|15:고속스핀|18:땅고르기|21:스피드스타|26:마구할퀴기|31:모래지옥|36:베어가르기|41:구멍파기|46:자이로볼|51:칼춤|56:모래바람|61:지진
29,니드런♀,,Poison,,55,47,52,40,40,41,55,MediumSlow,235,1:독침|1:울음소리|5:할퀴기|10:꼬리흔들기|15:마구할퀴기|20:독압정|25:두번치기|30:물기|35:도우미|40:맹독|45:부추기기|50:깨물어부수기|55:대지의힘
30,니드리나,,Poison,,70,62,67,55,55,56,128,MediumSlow,120,1:할퀴기|1:꼬리흔들기|1:독침|1:울음소리|15:마구할퀴기|22:독압정|29:두번치기|36:물기|43:도우미|50:맹독|57:부추기기|64:깨물어부수기|71:대지의힘
31,니드퀸,,Poison,Ground,90,92,87,75,85,76,253,MediumSlow,45,0:엄청난힘|1:오물웨이브|1:할퀴기|1:두번치기|1:꼬리흔들기|1:독침|1:물기|1:울음소리|1:맹독|1:마구할퀴기|1:깨물어부수기|1:부추기기|1:도우미|1:독압정|1:대지의힘
32,니드런♂,,Poison,,46,57,40,40,40,50,55,MediumSlow,235,1:독침|1:째려보기|5:쪼기|10:기충전|15:마구찌르기|20:독압정|25:두번치기|30:뿔찌르기|35:도우미|40:맹독|45:부추기기|50:독찌르기|55:대지의힘
33,니드리노,,Poison,,61,72,57,55,55,65,128,MediumSlow,120,1:독침|1:째려보기|1:쪼기|1:기충전|15:마구찌르기|22:독압정|29:두번치기|36:뿔찌르기|43:도우미|50:맹독|57:부추기기|64:독찌르기|71:대지의힘
34,니드킹,,Poison,Ground,81,102,77,85,75,85,253,MediumSlow,45,0:메가폰|1:오물웨이브|1:두번치기|1:뿔찌르기|1:마구찌르기|1:독침|1:째려보기|1:쪼기|1:맹독|1:기충전|1:부추기기|1:도우미|1:독압정|1:독찌르기|1:대지의힘
35,삐삐,,Fairy,,70,45,48,60,65,35,113,Fast,150,1:막치기|1:울음소리|1:노래하기|1:웅크리기|1:튀어오르기|1:천사의키스|1:애교부리기|1:흉내쟁이|1:차밍보이스|1:스포트라이트|4:어시스트파워|8:앵콜|12:당신먼저|16:생명의물방울|20:손가락흔들기|24:달의불빛|28:중력|32:코멧펀치|36:날따름|40:코스믹파워|44:문포스|48:치유소원
36,픽시,,Fairy,,95,70,73,95,90,60,242,Fast,25,1:막치기|1:울음소리|1:노래하기|1:웅크리기|1:튀어오르기|1:천사의키스|1:애교부리기|1:앵콜|1:달의불빛|1:날따름|1:코스믹파워|1:중력|1:치유소원|1:흉내쟁이|1:당신먼저|1:어시스트파워|1:차밍보이스|1:손가락흔들기|1:코멧펀치|1:문포스|1:생명의물방울|1:스포트라이트
37,식스테일,,Fire,,38,41,40,50,65,65,60,MediumFast,190,1:꼬리흔들기|1:불꽃세례|4:사슬묶기|8:전광석화|12:원한|16:불태우기|20:이상한빛|24:도깨비불|28:신통력|32:화염방사|36:봉인|40:회오리불꽃|44:신비의부적|48:연옥|52:불대문자
38,나인테일,,Fire,,73,76,75,81,100,100,177,MediumFast,75,1:사슬묶기|1:불꽃세례|1:회오리불꽃|1:이상한빛|1:불대문자|1:원한|1:신비의부적|1:도깨비불|1:봉인|1:신통력|1:나쁜음모|1:불태우기|1:연옥|1:화염방사|1:꼬리흔들기|1:전광석화
39,푸린,,Normal,Fairy,115,45,20,45,25,20,95,Fast,170,1:막치기|1:노래하기|1:사슬묶기|1:웅크리기|1:천사의키스|1:애교부리기|1:흉내쟁이|1:차밍보이스|4:에코보이스|8:탐내다|12:비축하기|12:토해내기|12:꿀꺽|16:돌림노래|20:잠자기|24:누르기|28:흉내내기|32:자이로볼|36:하이퍼보이스|44:이판사판태클
40,푸크린,,Normal,Fairy,140,70,45,85,50,45,218,Fast,50,1:막치기|1:누르기|1:이판사판태클|1:노래하기|1:사슬묶기|1:흉내내기|1:웅크리기|1:잠자기|1:천사의키스|1:애교부리기|1:비축하기|1:토해내기|1:꿀꺽|1:하이퍼보이스|1:탐내다|1:자이로볼|1:흉내쟁이|1:돌림노래|1:에코보이스|1:차밍보이스|5:치근거리기
41,주뱃,,Poison,Flying,40,45,35,30,40,55,49,MediumFast,255,1:초음파|1:흡수|5:놀래키기|10:검은눈빛|15:독엄니|20:퍼스트가드|25:에어컷터|30:물기|35:흑안개|40:베놈쇼크|45:이상한빛|50:에어슬래시|55:흡혈
42,골뱃,,Poison,Flying,75,80,70,65,75,90,159,MediumFast,90,1:초음파|1:흡수|1:싫은소리|1:검은눈빛|1:놀래키기|15:독엄니|20:퍼스트가드|27:에어컷터|34:물기|41:흑안개|48:베놈쇼크|55:이상한빛|62:에어슬래시|69:흡혈
43,뚜벅쵸,,Grass,Poison,45,50,55,75,65,30,64,MediumSlow,255,1:흡수|1:성장|4:용해액|8:달콤한향기|12:메가드레인|14:독가루|16:저리가루|18:수면가루|20:기가드레인|24:맹독|28:문포스|32:그래스필드|36:달의불빛|40:꽃잎댄스
44,냄새꼬,,Grass,Poison,60,65,70,85,75,40,138,MediumSlow,120,1:용해액|1:흡수|1:성장|1:달콤한향기|12:메가드레인|14:독가루|16:저리가루|18:수면가루|20:기가드레인|26:맹독|32:문포스|38:그래스필드|44:달의불빛|50:꽃잎댄스
45,라플레시아,,Grass,Poison,75,80,85,110,90,50,245,MediumSlow,45,0:꽃보라|1:용해액|1:흡수|1:메가드레인|1:성장|1:독가루|1:저리가루|1:수면가루|1:꽃잎댄스|1:맹독|1:기가드레인|1:달콤한향기|1:달의불빛|1:아로마테라피|1:그래스필드|1:문포스
46,파라스,,Bug,Grass,35,70,55,45,55,25,57,MediumFast,190,1:할퀴기|6:독가루|6:저리가루|11:흡수|17:연속자르기|22:버섯포자|27:베어가르기|33:성장|38:기가드레인|43:아로마테라피|49:분노가루|54:시저크로스
47,파라섹트,,Bug,Grass,60,95,80,60,80,30,142,MediumFast,75,1:할퀴기|1:흡수|1:독가루|1:저리가루|1:크로스포이즌|6:독가루|6:저리가루|11:흡수|17:연속자르기|22:버섯포자|29:베어가르기|37:성장|44:기가드레인|51:아로마테라피|59:분노가루|66:시저크로스
48,콘팡,,Bug,Poison,60,55,50,40,55,45,61,MediumFast,190,1:몸통박치기|1:사슬묶기|5:초음파|11:염동력|13:독가루|17:환상빔|23:저리가루|25:벌레의야단법석|29:수면가루|35:흡혈|37:사념의박치기|41:독엄니|47:사이코키네시스
49,도나리,,Bug,Poison,70,65,60,90,75,90,158,MediumFast,75,0:에어슬래시|1:몸통박치기|1:초음파|1:사슬묶기|1:나비춤|1:은빛바람|11:염동력|13:독가루|17:환상빔|23:저리가루|25:벌레의야단법석|29:수면가루|37:흡혈|41:사념의박치기|47:독엄니|55:사이코키네시스
50,디그다,,Ground,,10,55,25,35,45,95,53,MediumFast,255,1:할퀴기|1:모래뿌리기|4:울음소리|8:놀래키기|12:진흙뿌리기|16:땅고르기|20:기습|24:베어가르기|28:모래바람|32:구멍파기|36:대지의힘|40:지진|44:땅가르기
51,닥트리오,,Ground,,35,80,50,50,70,120,149,MediumFast,50,0:모래지옥|1:할퀴기|1:모래뿌리기|1:울음소리|1:트라이어택|1:놀래키기|1:깜짝베기|1:일구기|12:진흙뿌리기|16:땅고르기|20:기습|24:베어가르기|30:모래바람|36:구멍파기|42:대지의힘|48:지진|54:땅가르기
52,나옹,,Normal,,40,45,35,40,40,90,58,MediumFast,255,1:울음소리|1:속이다|4:페인트|8:할퀴기|12:고양이돈받기|16:물기|20:도발|24:승부굳히기|29:마구할퀴기|32:싫은소리|36:베어가르기|40:나쁜음모|44:치근거리기
53,페르시온,,Normal,,65,70,60,65,65,115,154,MediumFast,90,0:파워젬|1:할퀴기|1:울음소리|1:속이다|1:페인트|1:바꿔치기|12:고양이돈받기|16:물기|20:도발|24:승부굳히기|31:마구할퀴기|36:싫은소리|42:베어가르기|48:나쁜음모|54:치근거리기
54,고라파덕,,Water,,50,52,48,65,50,55,64,MediumFast,190,1:할퀴기|1:꼬리흔들기|1:물놀이|3:물대포|6:염동력|9:마구할퀴기|12:물의파동|15:사슬묶기|18:사념의박치기|21:싫은소리|24:아쿠아테일|27:물붓기|30:자기암시|34:망각술|39:원더룸
55,골덕,,Water,,80,82,78,95,80,85,175,MediumFast,75,1:할퀴기|1:꼬리흔들기|1:물대포|1:염동력|1:아쿠아제트|1:물놀이|1:선취|9:마구할퀴기|12:물의파동|15:사슬묶기|18:사념의박치기|21:싫은소리|24:아쿠아테일|27:물붓기|30:자기암시|36:망각술|40:하이드로펌프|45:원더룸
56,망키,,Fighting,,40,80,35,35,45,70,61,MediumFast,190,1:할퀴기|1:째려보기|1:기충전|1:탐내다|5:마구할퀴기|8:안다리걸기|12:지구던지기|17:뽐내기|22:크로스촙|26:승부굳히기|29:난동부리기|33:인파이트|36:싫은소리|40:분함의발구르기|44:역린|48:목숨걸기
57,성원숭,,Fighting,,65,105,60,60,70,95,159,MediumFast,75,1:할퀴기|1:째려보기|1:기충전|1:탐내다|1:내던지기|5:마구할퀴기|8:안다리걸기|15:지구던지기|17:뽐내기|22:크로스촙|26:승부굳히기|30:난동부리기|35:-|39:인파이트|44:싫은소리|48:분함의발구르기|53:역린|57:목숨걸기
58,가디,,Fire,,55,70,45,70,50,60,70,Slow,190,1:째려보기|1:불꽃세례|4:멀리짖음|8:물기|12:화염자동차|16:도우미|20:고속이동|24:불꽃엄니|28:원수갚기|32:깨물어부수기|36:돌진|40:화염방사|44:울부짖기|48:치근거리기|52:기사회생|56:플레어드라이브
59,윈디,,Fire,,90,110,80,100,80,95,194,Slow,75,0:신속|1:돌진|1:째려보기|1:물기|1:울부짖기|1:불꽃세례|1:고속이동|1:화염자동차|1:기사회생|1:깨물어부수기|1:도우미|1:냄새구별|1:멀리짖음|1:플레어드라이브|1:불꽃엄니|1:원수갚기|1:치근거리기|5:화염방사
60,발챙이,,Water,,40,50,40,40,40,90,60,MediumSlow,255,1:물대포|1:최면술|1:물놀이|6:막치기|12:머드숏|18:거품광선|24:비바라기|30:누르기|36:대지의힘|42:하이드로펌프|48:배북|54:이판사판태클
61,슈륙챙이,,Water,,65,65,65,50,50,90,135,MediumSlow,120,1:막치기|1:물대포|1:최면술|1:물놀이|1:머드숏|18:거품광선|24:비바라기|32:누르기|40:대지의힘|48:하이드로펌프|56:배북|66:이판사판태클
62,강챙이,,Water,Fighting,90,95,95,70,90,70,255,MediumSlow,45,0:폭발펀치|1:막치기|1:이판사판태클|1:물대포|1:하이드로펌프|1:배북|1:비바라기|1:머드숏|1:대지의힘|1:배대뒤치기|1:거품광선|1:누르기|1:최면술|1:물놀이
63,캐이시,,Psychic,,25,20,15,105,55,90,62,MediumSlow,200,1:순간이동|1:염동력
64,윤겔라,,Psychic,,40,35,30,120,70,105,140,MediumSlow,100,0:환상빔|1:염동력|1:사슬묶기|1:순간이동|1:숟가락휘기|10:리플렉터|15:사이드체인지|20:사이코커터|25:HP회복|30:사이코쇼크|35:사이코키네시스|40:역할|45:미래예지|50:명상
65,후딘,,Psychic,,55,50,45,135,95,120,250,MediumSlow,50,1:사슬묶기|1:염동력|1:순간이동|1:숟가락휘기|5:환상빔|10:리플렉터|15:사이드체인지|20:사이코커터|25:HP회복|30:사이코쇼크|35:사이코키네시스|40:역할|45:미래예지|50:명상
66,알통몬,,Fighting,,70,80,50,35,35,35,61,MediumSlow,180,1:째려보기|1:안다리걸기|4:기충전|8:리벤지|12:로킥|16:탁쳐서떨구기|20:겁나는얼굴|24:받아던지기|29:괴력|32:더블촙|36:벌크업|40:지구던지기|44:폭발펀치|48:크로스촙|52:이판사판태클
67,근육몬,,Fighting,,80,100,70,50,60,45,142,MediumSlow,90,1:째려보기|1:안다리걸기|1:기충전|1:리벤지|1:태권당수|12:로킥|16:탁쳐서떨구기|20:겁나는얼굴|24:받아던지기|31:괴력|36:더블촙|42:벌크업|48:지구던지기|54:폭발펀치|60:크로스촙|66:이판사판태클
68,괴력몬,,Fighting,,90,130,80,65,85,55,253,MediumSlow,45,1:째려보기|1:안다리걸기|1:기충전|1:리벤지|1:와이드가드|1:태권당수|12:로킥|16:탁쳐서떨구기|20:겁나는얼굴|24:받아던지기|31:괴력|36:더블촙|42:벌크업|48:지구던지기|54:폭발펀치|60:크로스촙|66:이판사판태클
69,모다피,,Grass,Poison,50,75,35,70,30,40,60,MediumSlow,255,1:덩굴채찍|7:성장|11:김밥말이|13:수면가루|15:독가루|17:저리가루|23:용해액|27:탁쳐서떨구기|29:달콤한향기|35:위액|39:잎날가르기|41:독찌르기|47:힘껏치기|52:파워휩
70,우츠동,,Grass,Poison,65,90,50,85,45,55,137,MediumSlow,120,1:덩굴채찍|1:김밥말이|1:성장|13:수면가루|15:독가루|17:저리가루|24:용해액|29:탁쳐서떨구기|32:달콤한향기|39:위액|44:잎날가르기|47:독찌르기|54:힘껏치기|58:파워휩
71,우츠보트,,Grass,Poison,80,105,65,100,70,70,245,MediumSlow,45,0:리프스톰|1:비축하기|1:꿀꺽|1:토해내기|1:김밥말이|1:성장|1:용해액|1:탁쳐서떨구기|1:위액|1:독찌르기|1:힘껏치기|1:파워휩|1:덩굴채찍|1:수면가루|1:독가루|1:저리가루|1:달콤한향기|1:잎날가르기|44:리프블레이드
72,왕눈해,,Water,Poison,40,40,35,50,100,70,67,Slow,190,1:독침|1:물대포|4:용해액|8:김밥말이|12:초음파|16:물의파동|20:싫은소리|24:거품광선|28:병상첨병|32:녹기|36:독찌르기|40:파도타기|44:오물웨이브|48:하이드로펌프
73,독파리,,Water,Poison,80,70,65,80,120,100,180,Slow,60,1:김밥말이|1:독침|1:용해액|1:물대포|1:미러타입|1:쥐어짜기|12:초음파|16:물의파동|20:싫은소리|24:거품광선|28:병상첨병|34:녹기|40:독찌르기|46:파도타기|52:오물웨이브|58:하이드로펌프
74,꼬마돌,,Rock,Ground,40,80,100,30,30,20,60,MediumSlow,255,1:몸통박치기|1:웅크리기|6:록커트|10:구르기|12:땅고르기|16:돌떨구기|18:떨어뜨리기|24:자폭|28:스텔스록|30:락블레스트|34:지진|36:대폭발|40:이판사판태클|42:스톤에지
75,데구리,,Rock,Ground,55,95,115,45,45,35,137,MediumSlow,120,1:몸통박치기|1:웅크리기|1:록커트|10:구르기|12:땅고르기|16:돌떨구기|18:떨어뜨리기|24:자폭|30:스텔스록|34:락블레스트|40:지진|44:대폭발|50:이판사판태클|54:스톤에지
76,딱구리,,Rock,Ground,80,120,130,55,65,45,248,MediumSlow,45,1:몸통박치기|1:웅크리기|1:록커트|1:구르기|1:헤비봄버|16:돌떨구기|18:떨어뜨리기|22:땅고르기|24:자폭|30:스텔스록|34:락블레스트|40:지진|44:대폭발|50:이판사판태클|54:스톤에지
77,포니타,,Fire,,50,85,55,65,65,90,82,MediumFast,190,1:몸통박치기|1:울음소리|5:꼬리흔들기|10:불꽃세례|15:니트로차지|20:고속이동|25:화염자동차|30:짓밟기|35:회오리불꽃|41:돌진|45:연옥|50:불대문자|55:플레어드라이브
78,날쌩마,,Fire,,65,100,70,80,80,105,175,MediumFast,60,0:스마트호른|1:몸통박치기|1:꼬리흔들기|1:울음소리|1:불꽃세례|1:전광석화|1:메가폰|1:독찌르기|15:니트로차지|20:고속이동|25:화염자동차|30:짓밟기|35:회오리불꽃|43:돌진|49:연옥|56:불대문자|63:플레어드라이브
79,야돈,,Water,Psychic,90,65,65,40,40,15,63,MediumFast,190,1:몸통박치기|1:저주|3:울음소리|6:물대포|9:하품|12:염동력|15:사슬묶기|18:물의파동|21:박치기|24:사념의박치기|27:망각술|30:파도타기|33:태만함|36:사이코키네시스|39:자기암시|42:비바라기|45:치유의파동
80,야도란,,Water,Psychic,95,75,110,100,80,30,172,MediumFast,75,1:미래예지|1:몸통박치기|1:울음소리|1:물대포|1:껍질에숨기|1:저주|9:하품|12:염동력|15:사슬묶기|18:물의파동|21:박치기|24:사념의박치기|27:망각술|30:파도타기|33:태만함|36:사이코키네시스|41:자기암시|46:비바라기|51:치유의파동
81,코일,,Electric,Steel,25,35,70,95,55,45,65,MediumFast,190,1:몸통박치기|1:전기쇼크|4:초음파|8:전기자석파|12:일렉트릭볼|16:자이로볼|20:스파크|24:싫은소리|28:전자부유|32:러스터캐논|36:방전|40:금속음|44:빛의장막|48:록온|52:전자포
82,레어코일,,Electric,Steel,50,60,95,120,70,70,163,MediumFast,60,0:트라이어택|1:몸통박치기|1:초음파|1:전기쇼크|1:전기자석파|1:일렉트릭필드|12:일렉트릭볼|16:자이로볼|20:스파크|24:싫은소리|28:전자부유|34:러스터캐논|40:방전|46:금속음|52:빛의장막|58:록온|64:전자포
83,파오리,,Normal,Flying,52,65,55,58,62,60,132,MediumFast,45,1:모래뿌리기|1:쪼기|5:째려보기|10:연속자르기|15:풀베기|20:제비반환|25:에어컷터|30:탁쳐서떨구기|35:칼등치기|40:베어가르기|45:칼춤|50:에어슬래시|55:리프블레이드|60:고속이동|65:브레이브버드
84,두두,,Normal,Flying,35,85,45,35,35,75,62,MediumFast,190,1:울음소리|1:쪼기|5:전광석화|9:마구찌르기|14:쪼아대기|19:더블어택|23:고속이동|27:소란피기|30:경혈찌르기|33:칼춤|36:회전부리|39:죽기살기|43:난동부리기
85,두트리오,,Normal,Flying,60,110,70,60,60,100,165,MediumFast,45,0:트라이어택|1:트라이어택|1:울음소리|1:쪼기|5:전광석화|12:마구찌르기|15:쪼아대기|19:더블어택|23:고속이동|26:소란피기|30:경혈찌르기|34:칼춤|38:회전부리|43:죽기살기|50:난동부리기
86,쥬쥬,,Water,,65,45,55,45,70,45,65,MediumFast,190,1:박치기|3:울음소리|7:애교부리기|11:얼다바람|13:앵콜|17:얼음뭉치|21:잠자기|23:아쿠아링|27:오로라빔|31:아쿠아제트|33:소금물|37:돌진|41:다이빙|43:아쿠아테일|47:냉동빔|51:신비의부적|53:-
87,쥬레곤,,Water,Ice,90,70,80,70,95,70,166,MediumFast,75,0:절대영도|1:박치기|1:울음소리|1:얼다바람|1:애교부리기|1:시그널빔|13:앵콜|17:얼음뭉치|21:잠자기|23:아쿠아링|27:오로라빔|31:아쿠아제트|33:소금물|39:돌진|45:다이빙|49:아쿠아테일|55:냉동빔|61:신비의부적|65:-
88,질퍽이,,Poison,,80,80,50,40,50,25,65,MediumFast,190,1:막치기|1:독가스|4:단단해지기|7:진흙뿌리기|12:사슬묶기|15:오물공격|18:머드숏|21:작아지기|26:맹독|29:오물폭탄|32:오물웨이브|37:싫은소리|40:더스트슈트|43:녹기|46:트림|48:추억의선물
89,질뻐기,,Poison,,105,105,75,65,100,50,175,MediumFast,75,1:막치기|1:단단해지기|1:독가스|1:진흙뿌리기|12:사슬묶기|15:오물공격|18:머드숏|21:작아지기|26:맹독|29:오물폭탄|32:오물웨이브|37:싫은소리|40:더스트슈트|46:녹기|52:트림|57:추억의선물
90,셀러,,Water,,30,65,100,45,25,40,61,Slow,190,1:몸통박치기|1:물대포|4:껍질에숨기|8:얼음뭉치|12:째려보기|16:바다회오리|20:초음파|24:오로라빔|28:방어|32:셸블레이드|36:철벽|40:냉동빔|44:껍질깨기|48:하이드로펌프
